Date,Cases,EN,SA
2021-01-25,285574,16,0
2021-01-26,286937,16,0
2021-01-27,288791,31,0
2021-01-28,290410,115,0
2021-01-29,291754,141,0
2021-01-30,293046,142,0
2021-01-31,293576,266,0
2021-02-01,294161,304,0
2021-02-02,295282,394,0
2021-02-03,296641,537,0
2021-02-04,297885,619,0
2021-02-05,299001,746,0
2021-02-06,300118,967,0
2021-02-07,300575,1048,0
2021-02-08,300966,1081,0
2021-02-09,301979,1232,0
2021-02-10,303207,1232,0
2021-02-11,304130,1371,0
2021-02-12,304950,1576,0
2021-02-13,305729,1748,0
2021-02-14,306100,1810,0
2021-02-15,306322,1933,0
2021-02-16,307090,2065,0
2021-02-17,308003,2250,0
2021-02-18,308938,2485,0
2021-02-19,309937,2692,0
2021-02-20,310795,2885,0
2021-02-21,311098,2975,0
2021-02-22,311485,3067,0
2021-02-23,312377,3275,0
2021-02-24,313496,3544,0
2021-02-25,314605,3936,0
2021-02-26,315552,4266,0
2021-02-27,316539,4613,0
2021-02-28,317022,4686,0
2021-03-01,317480,4868,0
