date,cases
04.03.2020,374
05.03.2020,562
06.03.2020,692
07.03.2020,931
08.03.2020,1073
09.03.2020,1249
10.03.2020,1569
11.03.2020,2022
12.03.2020,3045
13.03.2020,4252
14.03.2020,5604
15.03.2020,7182
16.03.2020,8919
17.03.2020,11588
18.03.2020,14707
19.03.2020,18257
20.03.2020,22417
21.03.2020,25554
22.03.2020,28778
23.03.2020,32038
24.03.2020,36116
25.03.2020,41434
26.03.2020,47611
27.03.2020,53112
28.03.2020,58362
29.03.2020,62557
30.03.2020,66829
31.03.2020,71800
01.04.2020,77981
02.04.2020,84798
03.04.2020,91078
04.04.2020,96139
05.04.2020,100101
06.04.2020,103506
07.04.2020,107930
08.04.2020,113483
09.04.2020,118463
10.04.2020,122310
11.04.2020,125588
12.04.2020,127870
13.04.2020,130064
14.04.2020,132176
15.04.2020,134826
16.04.2020,138190
17.04.2020,141414
18.04.2020,143704
19.04.2020,145758
20.04.2020,147106
21.04.2020,148527
22.04.2020,150727
23.04.2020,153182
24.04.2020,155086
25.04.2020,156544
26.04.2020,157763
27.04.2020,158688
28.04.2020,159896
29.04.2020,161490
30.04.2020,162991
01.05.2020,164042
02.05.2020,164931
03.05.2020,165583
04.05.2020,166128
05.05.2020,166971
06.05.2020,168093
07.05.2020,169413
08.05.2020,170575
09.05.2020,171307
10.05.2020,171855
11.05.2020,172519
12.05.2020,173247
13.05.2020,174068
14.05.2020,174918
15.05.2020,175680
16.05.2020,176164
17.05.2020,176635
18.05.2020,177276
19.05.2020,177800
20.05.2020,178513
21.05.2020,178996
22.05.2020,179708
23.05.2020,179986
24.05.2020,180309
25.05.2020,180760
26.05.2020,181245
27.05.2020,181869
28.05.2020,182445
29.05.2020,183035
30.05.2020,183311
31.05.2020,183512
01.06.2020,183751
02.06.2020,184097
03.06.2020,184429
04.06.2020,184925
05.06.2020,185426
06.06.2020,185295
07.06.2020,185463
08.06.2020,185779
09.06.2020,186092
10.06.2020,186526
11.06.2020,186825
12.06.2020,187237
13.06.2020,187412
14.06.2020,187657
15.06.2020,188030
16.06.2020,188367
17.06.2020,189435
18.06.2020,190133
19.06.2020,190669
20.06.2020,191229
21.06.2020,191584
22.06.2020,192127
23.06.2020,192786
24.06.2020,193259
25.06.2020,193794
26.06.2020,194408
27.06.2020,194699
28.06.2020,194906
29.06.2020,195398
30.06.2020,195837
01.07.2020,196306
02.07.2020,196723
03.07.2020,197185
04.07.2020,197423
05.07.2020,197543
06.07.2020,198071
07.07.2020,198348
08.07.2020,198755
09.07.2020,199181
10.07.2020,199593
11.07.2020,199818
12.07.2020,199963
13.07.2020,200437
14.07.2020,200768
15.07.2020,201258
16.07.2020,201841
17.07.2020,202359
18.07.2020,202594
19.07.2020,202918
20.07.2020,203509
